2026-01-22 00:56:32,019 | WARNING | backend.app.utils.migrations | Applying SQLite schema updates: ['ALTER TABLE task ADD COLUMN assigned_by_id INTEGER', "ALTER TABLE task ADD COLUMN description TEXT NOT NULL DEFAULT ''", "ALTER TABLE task ADD COLUMN status VARCHAR(32) NOT NULL DEFAULT 'new'"]
2026-01-22 00:56:32,037 | INFO    | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.33.0.2:5000
2026-01-22 00:56:32,037 | INFO    | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-22 00:58:16,467 | INFO    | backend.app.routes.api | → bot_start()
2026-01-22 00:58:16,526 | INFO    | backend.app.routes.api | ← bot_start() 60.0ms
2026-01-22 00:58:16,528 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:16] "POST /api/bot/start HTTP/1.1" 200 -
2026-01-22 00:58:27,659 | INFO    | backend.app.routes.web | → index()
2026-01-22 00:58:27,670 | INFO    | backend.app.routes.web | ← index() 11.2ms
2026-01-22 00:58:27,671 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:27] "GET /?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTc2OTAzMjY5NiwianRpIjoiMGExYWRmYjUtMzY5NC00NzhjLThkODAtM2E5MzQ5MDk4ZjIxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6IjEiLCJuYmYiOjE3NjkwMzI2OTYsImNzcmYiOiI1NjVjZDJhYy01NTUzLTQ4YzAtYTZhYy0wM2RlYjIwNGMwN2UiLCJleHAiOjE3NjkwMzYyOTZ9.ZLJeP2IcRafijj1-xRqwQepBSVKczfVv6kj7dBQMQqo HTTP/1.1" 200 -
2026-01-22 00:58:27,899 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:27] "GET /static/js/app.js HTTP/1.1" 200 -
2026-01-22 00:58:27,904 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:27] "GET /static/css/style.css HTTP/1.1" 200 -
2026-01-22 00:58:28,090 | INFO    | backend.app.routes.api | → auth_telegram()
2026-01-22 00:58:28,094 | INFO    | backend.app.routes.api | ← auth_telegram() 4.0ms
2026-01-22 00:58:28,094 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "POST /api/auth/telegram HTTP/1.1" 200 -
2026-01-22 00:58:28,136 | INFO    | backend.app.routes.api | → auth_telegram()
2026-01-22 00:58:28,141 | INFO    | backend.app.routes.api | ← auth_telegram() 5.3ms
2026-01-22 00:58:28,142 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "POST /api/auth/telegram HTTP/1.1" 200 -
2026-01-22 00:58:28,231 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:28,238 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:28,240 | INFO    | backend.app.routes.api | ← balance() 9.8ms
2026-01-22 00:58:28,242 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:28,245 | INFO    | backend.app.routes.api | ← group_tasks() 7.3ms
2026-01-22 00:58:28,246 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:28,374 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:28,376 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:28,379 | INFO    | backend.app.routes.api | ← group_tasks() 5.4ms
2026-01-22 00:58:28,380 | INFO    | backend.app.routes.api | ← balance() 4.3ms
2026-01-22 00:58:28,381 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:28,382 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:28] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:37,194 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:37,204 | INFO    | backend.app.routes.api | ← group_tasks() 10.0ms
2026-01-22 00:58:37,204 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:37] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:37,340 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:37,341 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:37,343 | INFO    | backend.app.routes.api | ← balance() 2.9ms
2026-01-22 00:58:37,348 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:37] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:37,349 | INFO    | backend.app.routes.api | ← group_tasks() 7.8ms
2026-01-22 00:58:37,349 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:37] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:40,137 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:40,143 | INFO    | backend.app.routes.api | ← group_tasks() 6.6ms
2026-01-22 00:58:40,144 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:40] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:40,281 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:40,282 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:40,290 | INFO    | backend.app.routes.api | ← balance() 7.4ms
2026-01-22 00:58:40,291 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:40] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:40,293 | INFO    | backend.app.routes.api | ← group_tasks() 12.0ms
2026-01-22 00:58:40,294 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:40] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:42,723 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:42,727 | INFO    | backend.app.routes.api | ← group_tasks() 3.7ms
2026-01-22 00:58:42,727 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:42] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:42,860 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:42,862 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:42,863 | INFO    | backend.app.routes.api | ← balance() 3.0ms
2026-01-22 00:58:42,869 | INFO    | backend.app.routes.api | ← group_tasks() 7.6ms
2026-01-22 00:58:42,870 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:42] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:42,870 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:42] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:45,655 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:45,663 | INFO    | backend.app.routes.api | ← group_tasks() 7.4ms
2026-01-22 00:58:45,663 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:45] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:45,802 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:45,803 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:45,805 | INFO    | backend.app.routes.api | ← balance() 3.6ms
2026-01-22 00:58:45,808 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:45] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:45,814 | INFO    | backend.app.routes.api | ← group_tasks() 10.6ms
2026-01-22 00:58:45,815 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:45] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:48,605 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:48,613 | INFO    | backend.app.routes.api | ← group_tasks() 8.2ms
2026-01-22 00:58:48,614 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:48] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:48,750 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:48,751 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:48,761 | INFO    | backend.app.routes.api | ← group_tasks() 11.6ms
2026-01-22 00:58:48,762 | INFO    | backend.app.routes.api | ← balance() 10.6ms
2026-01-22 00:58:48,762 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:48] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:48,762 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:48] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:51,409 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:51,416 | INFO    | backend.app.routes.api | ← group_tasks() 7.0ms
2026-01-22 00:58:51,417 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:51] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:51,549 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:51,550 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:51,551 | INFO    | backend.app.routes.api | ← balance() 2.1ms
2026-01-22 00:58:51,557 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:51] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:51,559 | INFO    | backend.app.routes.api | ← group_tasks() 9.2ms
2026-01-22 00:58:51,560 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:51] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:54,852 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:54,857 | INFO    | backend.app.routes.api | ← group_tasks() 4.5ms
2026-01-22 00:58:54,857 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:54] "POST /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:54,995 | INFO    | backend.app.routes.api | → balance()
2026-01-22 00:58:54,997 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:58:54,999 | INFO    | backend.app.routes.api | ← balance() 4.2ms
2026-01-22 00:58:55,001 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:55] "GET /api/balance HTTP/1.1" 200 -
2026-01-22 00:58:55,011 | INFO    | backend.app.routes.api | ← group_tasks() 14.1ms
2026-01-22 00:58:55,012 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:55] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:58:59,268 | INFO    | backend.app.routes.api | → task_details()
2026-01-22 00:58:59,275 | INFO    | backend.app.routes.api | ← task_details() 7.1ms
2026-01-22 00:58:59,276 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:59] "GET /api/tasks/7 HTTP/1.1" 200 -
2026-01-22 00:58:59,407 | INFO    | backend.app.routes.api | → group_members()
2026-01-22 00:58:59,416 | INFO    | backend.app.routes.api | ← group_members() 9.1ms
2026-01-22 00:58:59,417 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:58:59] "GET /api/groups/1/members HTTP/1.1" 200 -
2026-01-22 00:59:18,107 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:59:18,115 | INFO    | backend.app.routes.api | ← group_tasks() 8.5ms
2026-01-22 00:59:18,116 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:59:18] "GET /api/groups/1/tasks HTTP/1.1" 200 -
2026-01-22 00:59:30,717 | INFO    | backend.app.routes.api | → finance()
2026-01-22 00:59:30,725 | INFO    | backend.app.routes.api | ← finance() 8.2ms
2026-01-22 00:59:30,726 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:59:30] "POST /api/finance HTTP/1.1" 200 -
2026-01-22 00:59:30,858 | INFO    | backend.app.routes.api | → group_tasks()
2026-01-22 00:59:30,869 | INFO    | backend.app.routes.api | ← group_tasks() 11.0ms
2026-01-22 00:59:30,869 | INFO    | werkzeug | 127.0.0.1 - - [22/Jan/2026 00:59:30] "GET /api/groups/1/tasks HTTP/1.1" 200 -
